,2016/17,2016/17,2017/18,2017/18,2018/19,2018/19
Level,Total,Women percent,Total,Women percent,Total,Women percent
First Class (Gazetted),2216,12.7,1822,15.8,198,29.8
Second Class (Gazetted),6917,22.4,6831,21.4,1048,30.8
Third Class (Gazetted),67019,37.8,74089,41,14344,42.3
First Class Non-Gazetted,184200,43.8,136884,47.2,63456,49.8
Second Class Non-Gazetted,227274,51.2,198802,50,64733,50
