Gender,Elected House of Representatives,Elected Provincial Assembly,Elected National Assembly,President,Vice-President,Total,Percentage
Male,313,159,35,,1,508,91.86
Female,17,6,21,1,,45,8.13
Total,330,165,56,1,1,553,100
