year,free competition,reservation Total,reservation Women,reservation Indigenous,reservation madhesi,reservation dalit,reservation diff. abled,reservation backward areas
2010/11,2487,1349,471,371,300,105,59,43
2011/12,1805,1013,352,280,212,99,40,30
2012/13,1707,1136,372,318,254,106,51,35
2013/14,2767,1854,626,509,384,173,91,71
2014/15,2783,1979,639,547,454,168,95,76
2015/16,3300,2338,797,629,503,213,101,95
2016/17,5273,4026,1383,1026,901,385,189,142
2017/18,4007,3224,1088,858,711,292,163,132
Total,24129,16939,5728,4538,3719,1541,789,624
